,restaurant,item,nutrient,nutrient_value
0,Mcdonalds,Artisan Grilled Chicken Sandwich,calories,19.0
1,Mcdonalds,Artisan Grilled Chicken Sandwich,total_fat,10.0
2,Mcdonalds,Artisan Grilled Chicken Sandwich,sat_fat,10.0
3,Mcdonalds,Artisan Grilled Chicken Sandwich,cholesterol,31.666666666666664
4,Mcdonalds,Artisan Grilled Chicken Sandwich,sodium,46.25
5,Mcdonalds,Artisan Grilled Chicken Sandwich,fiber,12.0
6,Mcdonalds,Artisan Grilled Chicken Sandwich,sugar,12.222222222222221
7,Mcdonalds,Artisan Grilled Chicken Sandwich,protein,74.0
8,Mcdonalds,Single Bacon Smokehouse Burger,calories,42.0
9,Mcdonalds,Single Bacon Smokehouse Burger,total_fat,64.28571428571429
10,Mcdonalds,Single Bacon Smokehouse Burger,sat_fat,85.0
11,Mcdonalds,Single Bacon Smokehouse Burger,cholesterol,43.333333333333336
12,Mcdonalds,Single Bacon Smokehouse Burger,sodium,65.83333333333333
13,Mcdonalds,Single Bacon Smokehouse Burger,fiber,8.0
14,Mcdonalds,Single Bacon Smokehouse Burger,sugar,20.0
15,Mcdonalds,Single Bacon Smokehouse Burger,protein,92.0
16,Mcdonalds,Double Bacon Smokehouse Burger,calories,56.49999999999999
17,Mcdonalds,Double Bacon Smokehouse Burger,total_fat,95.71428571428572
18,Mcdonalds,Double Bacon Smokehouse Burger,sat_fat,135.0
19,Mcdonalds,Double Bacon Smokehouse Burger,cholesterol,73.33333333333333
20,Mcdonalds,Double Bacon Smokehouse Burger,sodium,80.0
21,Mcdonalds,Double Bacon Smokehouse Burger,fiber,12.0
22,Mcdonalds,Double Bacon Smokehouse Burger,sugar,20.0
23,Mcdonalds,Double Bacon Smokehouse Burger,protein,140.0
24,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,calories,37.5
25,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,total_fat,44.285714285714285
26,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,sat_fat,50.0
27,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,cholesterol,51.66666666666667
28,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,sodium,80.83333333333333
29,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,fiber,8.0
30,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,sugar,20.0
31,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,protein,110.00000000000001
32,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,calories,46.0
33,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,total_fat,64.28571428571429
34,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,sat_fat,60.0
35,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,cholesterol,40.0
36,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,sodium,82.5
37,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,fiber,16.0
38,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,sugar,20.0
39,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,protein,92.0
40,Mcdonalds,Big Mac,calories,27.0
41,Mcdonalds,Big Mac,total_fat,40.0
42,Mcdonalds,Big Mac,sat_fat,50.0
43,Mcdonalds,Big Mac,cholesterol,26.666666666666668
44,Mcdonalds,Big Mac,sodium,39.58333333333333
45,Mcdonalds,Big Mac,fiber,12.0
46,Mcdonalds,Big Mac,sugar,10.0
47,Mcdonalds,Big Mac,protein,50.0
48,Mcdonalds,Cheeseburger,calories,15.0
49,Mcdonalds,Cheeseburger,total_fat,17.142857142857142
50,Mcdonalds,Cheeseburger,sat_fat,25.0
51,Mcdonalds,Cheeseburger,cholesterol,13.333333333333334
52,Mcdonalds,Cheeseburger,sodium,28.333333333333332
53,Mcdonalds,Cheeseburger,fiber,8.0
54,Mcdonalds,Cheeseburger,sugar,7.777777777777778
55,Mcdonalds,Cheeseburger,protein,30.0
56,Mcdonalds,Classic Chicken Sandwich,calories,25.5
57,Mcdonalds,Classic Chicken Sandwich,total_fat,34.285714285714285
58,Mcdonalds,Classic Chicken Sandwich,sat_fat,20.0
59,Mcdonalds,Classic Chicken Sandwich,cholesterol,21.666666666666668
60,Mcdonalds,Classic Chicken Sandwich,sodium,43.333333333333336
61,Mcdonalds,Classic Chicken Sandwich,fiber,12.0
62,Mcdonalds,Classic Chicken Sandwich,sugar,6.666666666666667
63,Mcdonalds,Classic Chicken Sandwich,protein,50.0
64,Mcdonalds,Double Cheeseburger,calories,21.5
65,Mcdonalds,Double Cheeseburger,total_fat,30.0
66,Mcdonalds,Double Cheeseburger,sat_fat,55.00000000000001
67,Mcdonalds,Double Cheeseburger,cholesterol,28.333333333333332
68,Mcdonalds,Double Cheeseburger,sodium,43.333333333333336
69,Mcdonalds,Double Cheeseburger,fiber,8.0
70,Mcdonalds,Double Cheeseburger,sugar,7.777777777777778
71,Mcdonalds,Double Cheeseburger,protein,50.0
72,Mcdonalds,Double Quarter Pounder® with Cheese,calories,38.5
73,Mcdonalds,Double Quarter Pounder® with Cheese,total_fat,64.28571428571429
74,Mcdonalds,Double Quarter Pounder® with Cheese,sat_fat,105.0
75,Mcdonalds,Double Quarter Pounder® with Cheese,cholesterol,58.333333333333336
76,Mcdonalds,Double Quarter Pounder® with Cheese,sodium,53.75
77,Mcdonalds,Double Quarter Pounder® with Cheese,fiber,12.0
78,Mcdonalds,Double Quarter Pounder® with Cheese,sugar,11.11111111111111
79,Mcdonalds,Double Quarter Pounder® with Cheese,protein,102.0
80,Mcdonalds,Filet-O-Fish®,calories,19.0
81,Mcdonalds,Filet-O-Fish®,total_fat,25.71428571428571
82,Mcdonalds,Filet-O-Fish®,sat_fat,20.0
83,Mcdonalds,Filet-O-Fish®,cholesterol,13.333333333333334
84,Mcdonalds,Filet-O-Fish®,sodium,26.666666666666668
85,Mcdonalds,Filet-O-Fish®,fiber,8.0
86,Mcdonalds,Filet-O-Fish®,sugar,5.555555555555555
87,Mcdonalds,Filet-O-Fish®,protein,30.0
88,Mcdonalds,Garlic White Cheddar Burger,calories,31.0
89,Mcdonalds,Garlic White Cheddar Burger,total_fat,48.57142857142857
90,Mcdonalds,Garlic White Cheddar Burger,sat_fat,65.0
91,Mcdonalds,Garlic White Cheddar Burger,cholesterol,31.666666666666664
92,Mcdonalds,Garlic White Cheddar Burger,sodium,32.916666666666664
93,Mcdonalds,Garlic White Cheddar Burger,fiber,12.0
94,Mcdonalds,Garlic White Cheddar Burger,sugar,12.222222222222221
